Position,Game,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Shipped,Release Date,Last Update
255,PriPara All Idol Perfect Stage!,Unknown,Takara Tomy ARTS,N/A,N/A,N/A,N/A,N/A,04th Apr 18
256,Dragon Quest X: 5000-nen no Harukanaru Kokyou e Online,Square Enix,Square Enix,N/A,N/A,N/A,N/A,16th Nov 17,15th Sep 18
257,Scott Pilgrim vs. the World: The Game - Complete Edition,Ubisoft,Ubisoft,N/A,N/A,N/A,0.03m,01st Dec 20,22nd Sep 20
258,ToeJam & Earl: Back in the Groove,HumaNature Studios,HumaNature Studios,N/A,N/A,N/A,0.03m,01st Mar 19,05th Jan 18
259,"Soldam: Drop, Connect, Erase",Dispatch Games,City Connection,N/A,N/A,N/A,N/A,10th Oct 17,09th Oct 18
260,Syberia,Microids,Microids,N/A,N/A,N/A,N/A,20th Oct 17,17th Mar 19
261,88 Heroes: 98 Heroes Edition,Rising Star Games,Bitmap Bureau,N/A,N/A,N/A,N/A,10th Oct 17,17th Mar 19
262,Labyrinth of Refrain: Coven of Dusk,NIS America,Nippon Ichi Software,N/A,N/A,N/A,N/A,18th Sep 18,11th Nov 18
263,Super Run For Money Tousouchuu & Sentouchuu,Bandai Namco Games,Bandai Namco Games,N/A,N/A,N/A,N/A,29th Nov 18,05th Jan 19
264,SaGa: Scarlet Grace,Square Enix,Square Enix,N/A,N/A,N/A,N/A,03rd Dec 19,26th Aug 18
265,Steins;Gate Elite,Spike Chunsoft,5pb. Inc.,N/A,N/A,N/A,N/A,19th Feb 19,06th Nov 18
266,Undertale,8-4,Toby Fox,N/A,9.0,N/A,N/A,18th Sep 18,26th Sep 18
267,Cats Together,Bandai Namco Games,Bandai Namco Games,N/A,N/A,N/A,N/A,01st Nov 18,07th Nov 18
268,Hunting Simulator,Bigben Interactive,Maximum Games,N/A,N/A,N/A,N/A,10th Jul 18,28th Jun 18
269,Touhou Genso Wanderer Reloaded,NIS America,AQUA STYLE,N/A,N/A,N/A,N/A,17th Jul 18,18th Mar 19
270,Hello Kitty Kruisers,Rising Star Games,Bergsala Lightweight,N/A,N/A,N/A,N/A,15th May 18,25th Jan 18
271,"Shaq-Fu: A Legend Reborn
Read the review",Wired Productions,Big Deez Productions,3.0,N/A,N/A,N/A,05th Jun 18,18th Mar 19
272,Gear Club Unlimited 2,Microids,Eden Games,N/A,N/A,N/A,N/A,04th Dec 18,18th Mar 19
273,Gal Gun 2,PQube,Inti Creates,N/A,N/A,N/A,N/A,24th Apr 18,04th Mar 18
274,The Liar Princess and the Blind Prince,NIS America,Nippon Ichi Software,N/A,N/A,N/A,N/A,30th Mar 19,06th Jun 18
275,"Runner3
Read the review",Nicalis,Choice Provisions,7.0,7.5,9.0,N/A,22nd May 18,18th Mar 19
276,Higurashi no Naku Koro ni Hou,Entergram,07th Expansion,N/A,N/A,N/A,N/A,26th Jul 18,03rd Feb 19
277,Beyblade Burst: Battle Zero,FuRyu Corporation,FuRyu,N/A,N/A,N/A,N/A,25th Oct 18,07th Nov 18
278,Lumo,Rising Star Games,Triple Eh?,N/A,N/A,N/A,N/A,21st Nov 17,08th Jan 18
279,Tennis World Tour,Bigben Interactive,Breakpoint Studio,N/A,N/A,N/A,N/A,10th Jul 18,26th Sep 18
280,Gal Metal!,Xseed Games,DMM Games,N/A,7.0,N/A,N/A,30th Oct 18,18th Mar 19
281,Minecraft: Story Mode - Season Two,Telltale Games,Telltale Games,N/A,N/A,N/A,N/A,06th Nov 18,07th Aug 18
282,Gotouchi Tetsudou for Nintendo Switch!!,Bandai Namco Games,Grounding Inc.,N/A,N/A,N/A,N/A,22nd Feb 18,08th Mar 18
283,Project Highrise: Architect's Edition,Kalypso Media,SomaSim,N/A,N/A,N/A,N/A,13th Nov 18,22nd Mar 19
284,Fallen Legion: Rise to Glory,NIS America,Unknown,N/A,7.0,N/A,N/A,29th May 18,24th Apr 18
285,Senran Kagura: Peach and Reflexions Limited Double Pack,Marvelous,Marvelous,N/A,N/A,N/A,N/A,13th Dec 18,19th Dec 18
286,GRIP: Combat Racing,U&I Entertainment,Caged Element,N/A,N/A,N/A,N/A,06th Nov 18,11th Sep 18
287,Rapala Fishing Pro Series,GameMill Entertainment,"Concrete Software, Inc.",N/A,N/A,N/A,N/A,16th Oct 18,03rd Jan 19
288,"Musynx
Read the review",PM Studios,PM Studios,7.0,7.5,N/A,N/A,19th Jun 18,07th Jan 18
289,Banner Saga Trilogy,Gearbox Software,Stoic Studio,N/A,N/A,N/A,N/A,21st Sep 18,22nd Jul 18
290,Nobunaga's Ambition: Taishi,Koei Tecmo,Koei Tecmo Games,N/A,N/A,N/A,N/A,30th Nov 17,30th Jul 18
291,Moto Racer 4,Maximum Games,Microids,N/A,N/A,N/A,N/A,20th Nov 18,27th Oct 18
292,Unbox: Newbie's Adventure,Merge Games,Prospect Games,N/A,N/A,N/A,N/A,01st Nov 17,20th Sep 18
293,Flipping Death,Rising Star,Zoink Games,N/A,7.5,N/A,N/A,16th Oct 18,23rd Mar 19
294,Max: The Curse of Brotherhood,Wired Productions,Stage Clear Studios,N/A,N/A,N/A,N/A,24th Apr 18,23rd Mar 19
295,Mega Man X Legacy Collection 1,Capcom,Capcom,N/A,N/A,N/A,N/A,26th Jul 18,31st Aug 18
296,Big Buck Hunter Arcade,GameMill Entertainment,Play Mechanix,N/A,N/A,N/A,N/A,16th Oct 18,02nd Oct 20
297,Mercenaries Saga Chronicles,PM Studios,"Rideon Japan, Inc.",N/A,N/A,N/A,N/A,11th Sep 18,24th Mar 19
298,Billion Road,Bandai Namco Games,Bandai Namco Games,N/A,N/A,N/A,N/A,29th Nov 18,05th Jan 19
299,Hotel Transylvania 3: Monsters Overboard,Outright Games,Torus Games,N/A,6.5,N/A,N/A,10th Jul 18,24th Mar 19
300,This Is the Police 2,THQ Nordic,Weappy Studio,N/A,N/A,N/A,N/A,25th Sep 18,24th Mar 19
301,Titan Quest,THQ Nordic,Iron Lore Entertainment,N/A,N/A,N/A,N/A,31st Jul 18,24th Mar 19
302,Nari Kids Park: Hugtto! PreCure,Bandai Namco Games,Bandai Namco Games,N/A,N/A,N/A,N/A,21st Nov 18,19th Dec 18
303,All-Star Fruit Racing,PQube,3DClouds.it,N/A,N/A,N/A,N/A,21st Aug 18,24th Mar 19
304,Warriors Orochi 3,Tecmo Koei,Omega Force,N/A,N/A,N/A,N/A,09th Nov 17,N/A
305,Candle: The Power of the Flame,Merge Games,Teku Studios,N/A,N/A,N/A,N/A,16th Oct 18,30th Mar 19
306,Crayola Scoot,Outright Games,Outright Games,N/A,N/A,N/A,N/A,16th Oct 18,07th Aug 18
307,Onimusha: Warlords,Capcom,Capcom,N/A,N/A,N/A,N/A,15th Jan 19,29th Dec 18
308,Capcom Beat 'Em Up Bundle,Capcom,Capcom,N/A,N/A,N/A,N/A,18th Sep 18,19th Dec 18
309,Jake Hunter Detective Story: Prism of Eyes,Arc System Works,Arc System Works,N/A,N/A,N/A,N/A,09th Aug 18,26th Aug 18
310,Mega Man X Legacy Collection 2,Capcom,Capcom,N/A,N/A,N/A,N/A,26th Jul 18,31st Aug 18
311,Winning Post 8 2018,Koei Tecmo,Koei Tecmo Games,N/A,N/A,N/A,N/A,15th Mar 18,30th Jul 18
312,Legendary Fishing,Ubisoft,Ubisoft,N/A,N/A,N/A,N/A,18th Sep 18,22nd Nov 18
313,Hasbro Game Night for Nintendo Switch,Ubisoft,Ubisoft,N/A,N/A,N/A,N/A,30th Oct 18,30th Mar 19
314,Champion Jockey Special,Tecmo Koei,Koei Tecmo Games,N/A,N/A,N/A,N/A,14th Sep 17,31st Jul 18
315,The Princess Guide,NIS America,Nippon Ichi Software,N/A,N/A,N/A,N/A,15th Mar 19,11th May 20
316,Peach Ball: Senran Kagura,Marvelous Entertainment,HONEY PARADE GAMES,N/A,N/A,N/A,N/A,13th Dec 18,21st Dec 18
317,Lapis x Labyrinth,Nippon Ichi Software,Nippon Ichi Software,N/A,N/A,N/A,N/A,29th Nov 18,05th Jan 19
318,Trailblazers,Rising Star Games,Supergonk,N/A,N/A,N/A,N/A,15th Apr 18,22nd Sep 18
319,WORKxWORK,FuRyu Corporation,FuRyu,N/A,N/A,2.5,N/A,04th Oct 18,21st Nov 18
320,Atelier: The Alchemist of Arland 1-2-3 DX,Koei Tecmo,Gust,N/A,N/A,N/A,N/A,20th Sep 18,26th Sep 18
321,Neo Atlas 1469,Studio Artdink,ArtDink,N/A,N/A,N/A,N/A,19th Apr 18,20th Jan 18
322,Yoku's Island Express,Villa Gorilla,Villa Gorilla,N/A,9.0,6.0,N/A,19th Jun 18,31st Mar 19
323,SteamWorld Dig 2,Rising Star Games,Image & Form Games,N/A,N/A,N/A,N/A,19th Jun 18,31st Mar 19
324,Giana Sisters: Twisted Dreams,THQ Nordic,Black Forest Games,N/A,N/A,N/A,N/A,25th Sep 18,26th Oct 18
325,Cube Creator X,Arc System Works,Arc System Works,N/A,N/A,N/A,N/A,26th Apr 18,29th Mar 18
326,Super Putty Squad,System 3,System 3 Software,N/A,N/A,N/A,N/A,09th Nov 17,06th Apr 19
327,RPG Maker MV,NIS America,Kadokawa Games,N/A,N/A,N/A,N/A,01st Mar 19,23rd Dec 18
328,Legend of Kay Anniversary,THQ Nordic,THQ Nordic,N/A,6.5,N/A,N/A,29th May 18,06th Apr 19
329,Syberia 2,Microids,Microids,N/A,N/A,N/A,N/A,30th Nov 17,06th Apr 19
330,Nil Admirari no Tenbin: Irodori Nadeshiko,Idea Factory,Idea Factory,N/A,N/A,N/A,N/A,20th Sep 18,01st Oct 18
331,ATV Drift & Tricks,Microids,Artefacts Studio,N/A,N/A,N/A,N/A,22nd Nov 18,31st Oct 18
332,Kunio-kun: The World Classics Collection,Arc System Works,"Million Co., Ltd.",N/A,N/A,N/A,N/A,20th Dec 18,29th Dec 18
333,Happy Birthdays,NIS America,Arc System Works,N/A,8.5,N/A,N/A,05th Jun 18,07th Apr 19
334,World End Syndrome,Arc System Works,Arc System Works,N/A,N/A,N/A,N/A,02nd May 19,03rd Apr 19
335,Nari Kids Park: Ultraman R/B,Bandai Namco Games,Bandai Namco Games,N/A,N/A,N/A,N/A,21st Nov 18,19th Dec 18
336,Winning Post 8 2017,Tecmo Koei,Unknown,N/A,N/A,N/A,N/A,14th Sep 17,N/A
337,Dynasty Warriors 8: Empires,Tecmo Koei,Koei Tecmo Games,N/A,N/A,N/A,N/A,09th Nov 17,31st Jul 18
338,Daitoshokan no Hitsujikai: Library Party,Aria,August,N/A,N/A,N/A,N/A,26th Jul 18,30th Aug 18
339,Cendrillon palikA,Idea Factory,Otomate,N/A,N/A,N/A,N/A,25th Oct 18,07th Nov 18
340,Samurai Warriors: Sanada Maru,Tecmo Koei,Omega Force,N/A,N/A,N/A,N/A,09th Nov 17,09th Jul 18
341,Hakuoki: Shinkai - Fuukaden,Idea Factory,Idea Factory,N/A,N/A,N/A,N/A,06th Sep 18,26th Sep 18
342,Aokana: Four Rhythm Across the Blue,Sprite,Sprite,N/A,N/A,N/A,N/A,21st Aug 20,07th Apr 18
343,Deemo: The Last Recital,PM Studios,Rayark Inc.,N/A,N/A,N/A,N/A,29th Jan 19,07th Nov 18
344,The Mahjong,D3Publisher,D3Publisher,N/A,N/A,N/A,N/A,23rd Jun 18,07th Aug 18
345,Closed Nightmare,Nippon Ichi Software,Nippon Ichi Software,N/A,N/A,N/A,N/A,19th Jul 18,25th Aug 18
346,WorldNeverland: Elnea Kingdom,althi Inc.,althi Inc.,N/A,N/A,N/A,N/A,15th Mar 18,07th Nov 18
347,Nari Kids Park: Kaitou Sentai Lupinranger Vs. Keisatsu Sentai Patoranger,Bandai Namco Games,Bandai Namco Games,N/A,N/A,N/A,N/A,21st Nov 18,19th Dec 18
348,This is the Police,THQ Nordic,Weappy Studio,N/A,N/A,N/A,N/A,05th Dec 17,15th Sep 18
349,"Nora, Princess, and Stray Cat",Harukaze,Harukaze,N/A,N/A,N/A,N/A,25th Oct 18,07th Nov 18
350,Memories Off: Innocent File,5pb,5pb. Games,N/A,N/A,N/A,N/A,25th Oct 18,07th Nov 18
351,Dragon Quest XI: Echoes of an Elusive Age S - Definitive Edition,Square Enix,Square Enix,N/A,N/A,N/A,N/A,27th Sep 19,10th Apr 19
352,Metroid Prime 4,Nintendo,Nintendo,N/A,N/A,N/A,N/A,31st Dec 21,25th Jan 19
353,Mighty Gunvolt Burst,Inti Creates,Inti Creates,N/A,8.0,N/A,N/A,15th Jun 17,26th Nov 18
354,Namco Museum,Namco Bandai Games,Mass Media,N/A,7.7,N/A,N/A,28th Jul 17,29th Mar 19
355,"Redout
Read the review",Nicalis,Nicalis,6.0,N/A,N/A,N/A,30th Dec 18,15th Aug 18
356,Crawl,Unknown,Powerhoof,N/A,N/A,N/A,N/A,N/A,25th Jun 19
357,"Dawn of the Monsters
Read the review",Unknown,13AM Games,7.0,N/A,N/A,N/A,N/A,10th Mar 22
358,Fallout Shelter,Bethesda Softworks,Bethesda Softworks,N/A,N/A,N/A,N/A,10th Jun 18,18th Jun 18
359,The Infectious Madness of Doctor Dekker,Wales Interactive Ltd.,D'Avekki Studios Limited,N/A,N/A,N/A,N/A,05th Jun 18,04th Jun 18
360,??????????,Unknown,Nippon Ichi Software,N/A,N/A,N/A,N/A,N/A,23rd Feb 19
361,????~??????????,Unknown,Pikii,N/A,N/A,N/A,N/A,N/A,23rd Feb 19
362,10 Second Run RETURNS,Blue Print,Blue Print,N/A,N/A,N/A,N/A,25th Jan 18,01st Feb 18
363,198X,Hi-Bit Studios,Hi-Bit Studios,N/A,N/A,N/A,N/A,01st Dec 19,05th Jun 19
364,"1993 Shenandoah
Read the review",Unknown,Limit Break,7.0,N/A,N/A,N/A,N/A,14th Jul 20
365,2064: Read Only Memories INTEGRAL,MidBoss,MidBoss,N/A,N/A,N/A,N/A,26th Jul 18,13th Apr 19
366,20XX,Batterystaple Games,Batterystaple Games,N/A,N/A,N/A,N/A,10th Jul 18,09th Mar 20
367,3 out of 10: Season One,Unknown,Terrible Posture Games,N/A,N/A,N/A,N/A,N/A,07th Mar 21
368,"35MM
Read the review",Unknown,Noskov Sergey,4.0,N/A,N/A,N/A,N/A,01st Mar 22
369,36 Fragments of Midnight,Petite Games,Petite Games,N/A,N/A,N/A,N/A,14th Sep 17,13th Apr 19
370,39 Days to Mars,It's Anecdotal,It's Anecdotal,N/A,N/A,N/A,N/A,16th May 19,14th May 19
371,3D MiniGolf,Merge Games,Z-Software,N/A,N/A,N/A,N/A,01st Feb 18,13th Apr 19
372,60 Seconds!,Robot Gentleman Studios,Robot Gentleman Studios,N/A,N/A,N/A,N/A,18th Dec 17,04th Feb 18
373,7th Sector,Sometimes You,Sergey Noskov,N/A,N/A,N/A,N/A,05th Feb 20,23rd Jan 20
374,8-Bit Armies,Soedesco,Petroglyph Games,N/A,N/A,N/A,N/A,21st Sep 18,28th Jun 18
375,911 Operator,SONKA,Jutsu Games,N/A,N/A,N/A,N/A,26th Oct 18,17th Apr 22
376,99Vidas - Definitive Edition,Unknown,QUByte Interactive,N/A,N/A,N/A,N/A,27th Nov 18,14th Apr 19
377,A Duel Hand Disaster: Trackher,Unknown,Ask An Enemy Studios,N/A,N/A,N/A,N/A,N/A,10th Jun 19
378,"A Gummy's Life
Read the review",Unknown,EP Games,4.0,N/A,N/A,N/A,N/A,22nd Sep 18
379,A Hole New World,Dolores Entertainment SL,Mad Gear Games,N/A,N/A,N/A,N/A,01st Mar 18,23rd Mar 18
380,A Memoir Blue,Unknown,Cloisters Interactive,N/A,N/A,N/A,N/A,N/A,31st Mar 22
381,A Normal Lost Phone,Plug In Digital,Accidental Queens,N/A,N/A,N/A,N/A,01st Mar 18,21st Apr 19
382,A Plague Tale: Innocence,Unknown,Asobo Studio,N/A,N/A,N/A,N/A,N/A,19th Jun 21
383,A Plague Tale: Requiem,Unknown,Asobo Studio,N/A,N/A,N/A,N/A,N/A,02nd Nov 21
384,A Rat’s Quest: The Way Back Home,HandyGames,The Dreamerians,N/A,N/A,N/A,N/A,01st Dec 20,05th Aug 19
385,A Robot Named Fight!,Hitcents,Matt Bitner Games,N/A,N/A,N/A,N/A,26th Apr 18,21st Apr 19
386,A Shorr Hike,Unknown,Adamgryu,N/A,N/A,N/A,N/A,N/A,15th Nov 21
387,A Tale of Paper,Unknown,Open House Games,N/A,N/A,N/A,N/A,N/A,15th Jun 21
388,A Winter's Daydream,Unknown,Evgeniy Kolpakov,N/A,N/A,N/A,N/A,N/A,06th Oct 19
389,ABZU,505 Games,Giant Squid Studios,N/A,N/A,N/A,N/A,29th Nov 18,21st Apr 19
390,ACA NEOGEO 2020 SUPER BASEBALL,Hamster Corporation,SNK Corporation,N/A,N/A,N/A,N/A,08th Feb 18,21st Apr 19
391,ACA NEOGEO AERO FIGHTERS 2,Hamster Corporation,Video System,N/A,N/A,N/A,N/A,03rd Aug 17,02nd Apr 18
392,ACA NEOGEO AERO FIGHTERS 3,Hamster Corporation,Video System,N/A,N/A,N/A,N/A,15th Mar 18,23rd Mar 18
393,ACA NEOGEO ALPHA MISSION II,Hamster Corporation,SNK Corporation,N/A,N/A,N/A,N/A,06th Apr 17,02nd Apr 18
394,ACA NEOGEO ART OF FIGHTING,Hamster Corporation,SNK Corporation,N/A,N/A,N/A,N/A,21st Sep 17,02nd Apr 18
395,ACA NEOGEO ART OF FIGHTING 2,Hamster Corporation,SNK Corporation,N/A,N/A,N/A,N/A,11th Jan 18,02nd Apr 18
396,ACA NEOGEO ART OF FIGHTING 3,Hamster Corporation,SNK Corporation,N/A,N/A,N/A,N/A,02nd Nov 17,02nd Apr 18
397,ACA NEOGEO BASEBALL STARS PROFESSIONAL,Hamster Corporation,SNK Corporation,N/A,N/A,N/A,N/A,17th May 18,05th Aug 18
398,ACA NEOGEO BLAZING STAR,Hamster Corporation,SNK Corporation,N/A,N/A,N/A,N/A,02nd May 17,01st Apr 18
399,ACA NEOGEO BLUE'S JOURNEY,Hamster Corporation,SNK Corporation,N/A,N/A,6.5,N/A,07th Sep 17,02nd Apr 18
400,ACA NEOGEO BURNING FIGHT,Hamster Corporation,SNK Corporation,N/A,N/A,N/A,N/A,28th Sep 17,02nd Apr 18
401,ACA NEOGEO FATAL FURY,Hamster Corporation,SNK Corporation,N/A,N/A,N/A,N/A,20th Apr 17,02nd Apr 18
402,ACA NEOGEO FATAL FURY 2,Hamster Corporation,SNK Corporation,N/A,N/A,N/A,N/A,22nd Jun 17,02nd Apr 18
403,ACA NEOGEO FATAL FURY 3,Hamster Corporation,SNK Corporation,N/A,N/A,N/A,N/A,15th Feb 18,28th Mar 18
404,ACA NEOGEO FATAL FURY SPECIAL,Hamster Corporation,SNK Corporation,N/A,N/A,N/A,N/A,13th Jul 17,02nd Apr 18
405,ACA NEOGEO GALAXY FIGHT: UNIVERSAL WARRIORS,Hamster Corporation,SunSoft,N/A,N/A,N/A,N/A,18th May 17,02nd Apr 18
406,ACA NEOGEO GAROU: MARK OF THE WOLVES,Hamster Corporation,SNK Corporation,N/A,N/A,N/A,N/A,11th May 17,02nd Apr 18
407,ACA NEOGEO GHOST PILOTS,Hamster Corporation,SNK Corporation,N/A,N/A,N/A,N/A,26th Apr 18,05th Aug 18
408,ACA NEOGEO Gururin,Hamster Corporation,FACE,N/A,N/A,N/A,N/A,12th Apr 18,05th Aug 18
409,ACA NEOGEO KARNOV'S REVENGE,Hamster Corporation,Data East,N/A,N/A,N/A,N/A,16th Nov 17,02nd Apr 18
410,ACA NEOGEO KING OF THE MONSTERS,Hamster Corporation,SNK Corporation,N/A,N/A,N/A,N/A,04th Jan 18,02nd Apr 18
411,ACA NEOGEO LAST RESORT,Hamster Corporation,SNK Corporation,N/A,N/A,N/A,N/A,01st Jun 17,02nd Apr 18
412,ACA NEOGEO LEAGUE BOWLING,Hamster Corporation,SNK Corporation,N/A,N/A,N/A,N/A,19th Jul 18,05th Aug 18
413,ACA NEOGEO MAGICAL DROP II,Hamster Corporation,Data East,N/A,N/A,N/A,N/A,29th Jun 17,05th Aug 18
414,ACA NEOGEO MAGICAL DROP III,Hamster Corporation,SNK Corporation,N/A,N/A,N/A,N/A,22nd Feb 18,28th Mar 18
415,ACA NEOGEO MAGICIAN LORD,Hamster Corporation,SNK Corporation,N/A,N/A,N/A,N/A,17th Aug 17,04th Apr 18
416,ACA NEOGEO METAL SLUG,Hamster Corporation,SNK Corporation,N/A,N/A,N/A,N/A,30th Mar 17,04th Apr 18
417,ACA NEOGEO METAL SLUG 2,Hamster Corporation,SNK Corporation,N/A,N/A,N/A,N/A,06th Jul 17,04th Apr 18
418,ACA NEOGEO METAL SLUG 3,Hamster Corporation,SNK Corporation,N/A,N/A,N/A,N/A,03rd Mar 17,04th Apr 18
419,ACA NEOGEO METAL SLUG X,Hamster Corporation,SNK Corporation,N/A,N/A,N/A,N/A,05th Oct 17,04th Apr 18
420,ACA NEOGEO Money Puzzle Exchanger,Hamster Corporation,FACE,N/A,N/A,N/A,N/A,28th Jun 18,05th Aug 18
421,ACA NEOGEO MUTATION NATION,Hamster Corporation,SNK Corporation,N/A,N/A,N/A,N/A,26th Oct 17,04th Apr 18
422,ACA NEOGEO NAM-1975,Hamster Corporation,SNK Corporation,N/A,N/A,N/A,N/A,09th Mar 17,03rd Apr 18
423,ACA NEOGEO NEO TURF MASTERS,Hamster Corporation,SNK Corporation,N/A,N/A,N/A,N/A,23rd Mar 17,04th Apr 18
424,ACA NEOGEO NINJA COMBAT,Hamster Corporation,SNK Corporation,N/A,N/A,N/A,N/A,31st May 18,05th Aug 18
425,ACA NEOGEO OVER TOP,Hamster Corporation,SNK Corporation,N/A,N/A,N/A,N/A,27th Apr 17,03rd Apr 18
426,ACA NEOGEO POWER SPIKES II,Hamster Corporation,Video System,N/A,N/A,N/A,N/A,18th Jan 18,04th Apr 18
427,ACA NEOGEO PREHISTORIC ISLE 2,Hamster Corporation,SNK Corporation,N/A,N/A,N/A,N/A,02nd Aug 18,05th Aug 18
428,ACA NEOGEO PULSTAR,Hamster Corporation,SNK Corporation,N/A,N/A,N/A,N/A,21st Dec 17,04th Apr 18
429,ACA NEOGEO PUZZLED,Hamster Corporation,SNK Corporation,N/A,N/A,N/A,N/A,24th Aug 17,04th Apr 18
430,ACA NEOGEO REAL BOUT FATAL FURY,Hamster Corporation,SNK Corporation,N/A,N/A,N/A,N/A,18th Mar 18,28th Mar 18
431,ACA NEOGEO REAL BOUT FATAL FURY SPECIAL,Hamster Corporation,SNK Corporation,N/A,N/A,N/A,N/A,19th Apr 18,05th Aug 18
432,ACA NEOGEO RIDING HERO,Hamster Corporation,SNK Corporation,N/A,N/A,N/A,N/A,07th Jun 18,05th Aug 18
433,ACA NEOGEO ROBO ARMY,Hamster Corporation,SNK Corporation,N/A,N/A,N/A,N/A,19th Oct 17,04th Apr 18
434,ACA NEOGEO SAMURAI SHODOWN,Hamster Corporation,SNK Corporation,N/A,N/A,N/A,N/A,20th Jul 17,04th Apr 18
435,ACA NEOGEO SAMURAI SHODOWN II,Hamster Corporation,SNK Corporation,N/A,N/A,N/A,N/A,01st Feb 18,28th Mar 18
436,ACA NEOGEO SAMURAI SHODOWN III,Hamster Corporation,SNK Corporation,N/A,N/A,N/A,N/A,05th Apr 18,05th Aug 18
437,ACA NEOGEO SAMURAI SHODOWN IV,Hamster Corporation,SNK Corporation,N/A,N/A,N/A,N/A,13th Apr 17,04th Apr 18
438,ACA NEOGEO SAMURAI SHODOWN V,Hamster Corporation,SNK Corporation,N/A,N/A,N/A,N/A,05th Jul 18,05th Aug 18
439,ACA NEOGEO SENGOKU,Hamster Corporation,SNK Corporation,N/A,N/A,N/A,N/A,15th Jun 17,04th Apr 18
440,ACA NEOGEO SENGOKU 2,Hamster Corporation,SNK Corporation,N/A,N/A,N/A,N/A,01st Mar 18,28th Mar 18
441,ACA NEOGEO SENGOKU 3,Hamster Corporation,SNK Corporation,N/A,N/A,N/A,N/A,29th Mar 18,30th Mar 18
442,ACA NEOGEO SHOCK TROOPERS,Hamster Corporation,SNK Corporation,N/A,N/A,N/A,N/A,03rd Mar 17,04th Apr 18
443,ACA NEOGEO SHOCK TROOPERS 2nd Squad,Hamster Corporation,SNK Corporation,N/A,N/A,N/A,N/A,08th Jun 17,04th Apr 18
444,ACA NEOGEO SOCCER BRAWL,Hamster Corporation,SNK Corporation,N/A,N/A,N/A,N/A,22nd Nov 17,04th Apr 18
445,ACA NEOGEO SPIN MASTER,Hamster Corporation,Data East,N/A,N/A,N/A,N/A,14th Sep 17,03rd Apr 18
446,ACA NEOGEO STAKES WINNER,Hamster Corporation,SNK Corporation,N/A,N/A,N/A,N/A,02nd May 18,05th Aug 18
447,ACA NEOGEO STREET HOOP,Hamster Corporation,Data East,N/A,N/A,N/A,N/A,09th Nov 17,04th Apr 18
448,ACA NEOGEO SUPER SIDEKICKS,Hamster Corporation,SNK Corporation,N/A,N/A,N/A,N/A,27th Jul 17,03rd Apr 18
449,ACA NEOGEO SUPER SIDEKICKS 2,Hamster Corporation,SNK Corporation,N/A,N/A,N/A,N/A,10th May 18,05th Aug 18
450,ACA NEOGEO SUPER SIDEKICKS 3 : THE NEXT GLORY,Hamster Corporation,SNK Corporation,N/A,N/A,N/A,N/A,14th Jun 18,05th Aug 18
451,ACA NEOGEO THE KING OF FIGHTERS '94,Hamster Corporation,SNK Corporation,N/A,N/A,N/A,N/A,16th Mar 17,02nd Apr 18
452,ACA NEOGEO THE KING OF FIGHTERS '95,Hamster Corporation,SNK Corporation,N/A,N/A,N/A,N/A,12th Oct 17,02nd Apr 18
453,ACA NEOGEO THE KING OF FIGHTERS '96,Hamster Corporation,SNK Corporation,N/A,N/A,N/A,N/A,28th Dec 17,02nd Apr 18
